Product Group Level 4;Product Name;Store;Product;Quantity;Quantity Unit;Quantity Base
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Caviar/Aqua;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010022;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Caviar/Aqua;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010022;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Caviar/Aqua;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010022;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Stone/Grey;1406 PLOVDIV KIKA GRUP;31001010060;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Stone/Grey;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010060;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Stone/Grey;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010060;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Red;1406 PLOVDIV KIKA GRUP;31001010020;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Red;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010020;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Red;1410 PLOVDIV KIKA GRUP TRUD;31001010020;2;pcs;2
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Sand;1406 PLOVDIV KIKA GRUP;31001010021;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Sand;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010021;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Sand;1410 PLOVDIV KIKA GRUP TRUD;31001010021;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Twister Yellow Lime;1406 PLOVDIV KIKA GRUP;31001010028;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Twister Yellow Lime;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010028;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Twister Yellow Lime;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010028;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Twister Yellow Lime;1410 PLOVDIV KIKA GRUP TRUD;31001010028;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Twister Yellow Lime;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010028;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Vegas Brown;1406 PLOVDIV KIKA GRUP;31001010014;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Vegas Brown;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010014;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Vegas Brown;1410 PLOVDIV KIKA GRUP TRUD;31001010014;3;pcs;3
