Код на продукт Кика Груп Баркод;Баркод Кика;Part Number;Aktiven za Web;Aktiven za Web B2C;Product Name;Short Name;Measurement Unit;Broy v kashon;Shirina;Visochina;Dalzhina;Drug razmer;Marka;Model;Tsvyat;Tsvetna opakovka;Opisanie;Product Type;Intrastat Supplementary Unit;Minimal Sales Price Per Lot;Intrastat Commodity Code;Active;Enterprise Company
;3801001010404;31001010040;;;Baby stroller 3 in 1 Bali Coral Spiced + adaptor / car seat Bali Gray /;;pcs;1;;;;;KIKKABOO;Bali 3 в 1;Coral Spiced;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010411;31001010041;;;Stroller 3 in 1 with transf.seat Bali Zen Beige Melange + adaptor;;pcs;1;;;;;KIKKABOO;Bali 3 в 1;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010428;31001010042;;;Stroller 3 in 1 Bali Zen Black;;pcs;1;;;;;KIKKABOO;Bali 3 в 1;Black;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010435;31001010043;;;Stroller 3 in 1 with transf.seat Bali Zen Gray Melange + adaptor;;pcs;1;;;;;KIKKABOO;Bali 3 в 1;Gray;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010442;31001010044;;;Kombinirana bebeshka kolichka 3 v1 Miami All in one Caviar Petrol;;pcs;1;;;;;;Miami;Caviar Petrol;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010459;31001010045;;;Stroller 3 in 1 Madrid Green Melange;;pcs;1;;;;;KIKKABOO;Madrid;Green;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010466;31001010046;;;Stroller 3 in 1 Madrid Pink Melange;;pcs;1;24,5;86;48;;KIKKABOO;Madrid;Pink;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010473;31001010047;;;Stroller 3 in 1 Ugo Light Grey Melange;;pcs;1;;;;;KIKKABOO;Ugo;Light Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010480;31001010048;;;Stroller 3 in 1 Ugo Beige Melange;;pcs;1;;;;;KIKKABOO;Ugo;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010497;31001010049;;;Stroller 3 in 1 Ugo Dark Grey Melange;;pcs;1;;;;;KIKKABOO;Ugo;Dark Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010503;31001010050;;;Kombinirana bebeshka kolichka 3 v 1 Madrid Pink;;pcs;1;;;;;;Madrid;Pink;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010510;31001010051;;;Kombinirana bebeshka kolichka 3 v 1 Amulett Gray;;pcs;1;;;;;;Amulett 3 в 1 ;Gray;;;Stoka;kg;;87150010;0;KIKA GROUP LTD
;3801001010527;31001010052;;;Kombinirana bebeshka kolichka 3 v 1 Amulett Beige;;pcs;1;;;;;;Amulett 3 в 1 ;Beige;;;Stoka;kg;;87150010;0;KIKA GROUP LTD
;3801001010534;31001010053;;;Kombinirana bebeshka kolichka 3 v 1 Amulett Wine Red;;pcs;1;;;;;;Amulett 3 в 1 ;Wine Red;;;Stoka;kg;;87150010;0;KIKA GROUP LTD
3,801E+12;3801001010541;31001010054;;;Stroller 3 in 1 Allure Grey;Bebeshka kolichka 3 v 1 Allure Beige;pcs;1;;;;;KIKKABOO;Allure;Grey;Не;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010558;31001010055;;;Stroller 3in1 transf. seat Darling Beige;;pcs;1;;;;;KIKKABOO;Darling 3 в 1;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010565;31001010056;;;Stroller 3in1 transf. seat Darling Light Grey;;pcs;1;;;;;KIKKABOO;Darling 3 в 1;Light Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010572;31001010057;;;Stroller 3in1 transf. seat Darling Dark Grey;;pcs;1;;;;;KIKKABOO;Darling 3 в 1;Dark Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010589;31001010058;;;Stroller 3 in 1 Darling Green;;pcs;1;;;;;KIKKABOO;Darling 3 в 1;Green;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010596;31001010059;;;Stroller 3in1 transf. seat Darling Pink;;pcs;1;;;;;KIKKABOO;Darling 3 в 1;Pink;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010602;31001010060;;;Kombinirana bebeshka kolichka 3 v 1 Shopper Stone/Grey;;pcs;1;;;;;;Shopper;Grey;;;Stoka;;;;1;KIKA GROUP LTD
;3801001010619;31001010061;;;Kombinirana bebeshka kolichka 3 v 1 Viper Trioset Caviar/Beige;;pcs;1;;;;;;Viper;Beige;;;Stoka;;;;1;KIKA GROUP LTD
;3801001010626;31001010062;Да;Да;Stroller 3in1 with carrycot Ava Grey;;pcs;1;;;;;KIKKABOO;AVA;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010633;31001010063;Да;Да;Stroller 3in1 with carrycot Ava Army Green;;pcs;1;;;;;KIKKABOO;AVA;Green;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010640;31001010064;Да;Да;Stroller 3in1 with carrycot Ava Beige;;pcs;1;;;;;KIKKABOO;AVA;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010657;31001010065;Да;Да;Stroller 3in1 with carrycot Ava Black;;pcs;1;;;;;KIKKABOO;AVA;Black;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010664;31001010066;;;Stroller 3 in 1 Vicenza Luxury Grey silver frame;;pcs;1;;;;;KIKKABOO;Vicenza Luxury;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010671;31001010067;;;Stroller 3in1 Vicenza Luxury Beige golden frame;;pcs;1;;;;;KIKKABOO;Vicenza Luxury;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010688;31001010068;;;Stroller 3in1 Vicenza Blue Melangе;;pcs;1;;;;;KIKKABOO;Vicenza;Blue Melange;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010732;31001010073;;;Detska kolichka 3 v 1 Kitay;;pcs;1;;;;;;Vivid;Grey;;;Stoka;;;;1;KIKA GROUP LTD
;3801001010749;31001010074;;;Vivid 3 v 1, Sinya;;pcs;1;;;;;;Vivid;Blue;;;Stoka;;;;0;KIKA GROUP LTD
;3801001010756;31001010075;;;Vivid 3 v 1, Bezhova;;pcs;1;;;;;;Vivid;Beige;;;Stoka;;;;0;KIKA GROUP LTD
;3801001010763;31001010076;;;Dotty 3 v 1, Melanzh Svetlo Siva;;pcs;1;;;;;;Dotty;Light Grey;;;Stoka;;;;0;KIKA GROUP LTD
;3801001010770;31001010077;;;Dotty 3 v 1, Melanzh Tamno Siva;;pcs;1;;;;;;Dotty;Dark Grey;;;Stoka;;;;0;KIKA GROUP LTD
;3801001010787;31001010078;;;Dotty 3 v 1, Melanzh Bezhova;;pcs;1;;;;;;Dotty;Beige;;;Stoka;;;;0;KIKA GROUP LTD
;3801001010794;31001010079;;;Stroller 4in1 transf. seat + ISOFIX base Isa Black;;pcs;;;;;;;;;;;Stoka;;;;1;KIKA GROUP LTD
;3801001010800;31001010080;;;Stroller 4in1 transf. seat + ISOFIX base Isa Grey;;pcs;;;;;;;;;;;Stoka;;;;1;KIKA GROUP LTD
;3801001010817;31001010081;;;Stroller 4in1 transf. seat + ISOFIX base Isa Army Green;;pcs;;;;;;;;;;;Stoka;;;;1;KIKA GROUP LTD
;3801001010824;31001010082;;;Stroller 3 in 1 Dotty Black;;pcs;1;;;;;;Dotty 3 в 1;Black;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010831;31001010083;;;Stroller 3 in 1 Dotty Brown;;pcs;1;;;;;;Dotty 3 в 1;Brown;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010848;31001010084;;;Stroller 3 in 1 Dotty Blue;;pcs;1;;;;;;Dotty 3 в 1;Blue;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010855;31001010085;;;Dotty 3 v 1, Takmno Zelen Melanzh;;pcs;1;;;;;;Dotty;Green;;;Stoka;kg;;87150010;0;KIKA GROUP LTD
;3801001010862;31001010086;;;Allure 2 v 1 transformirashta sedalka, Grey;;pcs;1;;;;;;Allure;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010879;31001010087;;;Stroller 3 in 1 D`ora Dark Grey;;pcs;1;;;;;;D`ora 3 в 1 ;Dark Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010886;31001010088;;;Stroller 3 in 1 D`ora Beige;;pcs;1;;;;;;D`ora 3 в 1 ;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010893;31001010089;;;Stroller 3 in 1 D`ora Green;;pcs;1;;;;;;D`ora 3 в 1 ;Green;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010909;31001010090;;;Stroller 3 in 1 Trinity Grey Melange;;pcs;1;;;;;;Trinity;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010916;31001010091;;;Stroller 3 in 1 Trinity Beige Melange;;pcs;1;;;;;;Trinity;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010923;31001010092;;;Stroller 3 in 1 Trinity Blue Melange Golden frame;;pcs;1;;;;;;Trinity;Blue;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010930;31001010093;;;Stroller 3 in 1 Tiara Beige;;pcs;1;;;;;;Tiara 3 в 1 ;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010947;31001010094;;;Stroller 3 in 1 Tiara Grey;;pcs;1;;;;;;Tiara 3 в 1 ;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010954;31001010095;;;Stroller 3 in 1 Tiara Dark Blue;;pcs;1;;;;;KIKKABOO;Tiara 3 в 1 ;Dark Blue;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010961;31001010096;;;Stroller 3 in 1 Amulett Beige;;pcs;1;;;;;;Amulett 3 в 1 ;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010978;31001010097;;;Stroller 3 in 1 Amulett Grey;;pcs;1;;;;;;Amulett 3 в 1 ;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010985;31001010098;;;Stroller 3 in 1 Amulett Dark Blue;;pcs;1;;;;;;Amulett 3 в 1 ;Dark Blue;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010992;31001010099;;;Stroller 3 in 1 Amica Beige;;pcs;1;;;;;;Amica 3 в 1;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011005;31001010100;;;Stroller 3 in 1 Amica Grey;;pcs;1;;;;;;Amica 3 в 1;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011012;31001010101;;;Stroller 3in1 Amica Mint;;pcs;1;;;;;KIKKABOO;Amica 3 в 1;Mint;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001011029;31001010102;;;Stroller Divaina 3in1 with carrycot Grey;;pcs;1;;;;;;Divaina 3 в 1;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
